Dia Semana,Data,Tem festa?,Concentração,Saída,Cidade,BLOCO / TROÇA,BLOCO/TROÇA - URL,LOCAL,LATITUDE,LONGITUDE,Orquestra
SEGUNDA,16/02,FALSE,10:00,10:30,Olinda,Comigo é Assim,https://www.instagram.com/comigoeassim,Alto da Sé,-8.0139781,-34.849701,Maestro Oséas
SEGUNDA,16/02,FALSE,10:00,11:30,Olinda,Minhocão de Olinda,https://www.instagram.com/blocominhocaodeolinda,Atrás da Igreja de São Pedro,-8.0166884,-34.8511568,Henrique Dias
SEGUNDA,16/02,FALSE,11:00,12:00,Olinda,Ta'Qui Pr'Ocês,https://www.instagram.com/tcmtaquiproces,"Rua Nelson Guedes da Silva, 142 (Beco do Lixo)",-8.0149622,-34.8567355,Orquestra do Babá
SEGUNDA,16/02,FALSE,11:00,12:00,Olinda,A Sopa do Monte,https://www.instagram.com/tcmasopa,"Estrada do Bonsucesso, 510",-8.0083534,-34.8498054,
SEGUNDA,16/02,FALSE,10:30,12:00,Olinda,Se Eu Flopar Me Beija,https://www.instagram.com/seeufloparmebeija,Praça Cel João Lapa ,-8.0186913,-34.8538912,Henrique Dias
SEGUNDA,16/02,FALSE,13:00,13:00,Olinda,O Cara,https://www.instagram.com/tcmocara,Clube Cariri,-8.0089265,-34.8571461,
SEGUNDA,16/02,FALSE,13:00,13:00,Olinda,O Franciscão,https://www.instagram.com/franciscao_olinda,Sede da JOGO,-8.0086241,-34.8568037,
SEGUNDA,16/02,FALSE,11:30,13:30,Olinda,Mulher na Vara,https://www.instagram.com/mulhernavara_/,Casa de Dona Dá,-8.0141282,-34.8723476,Maestro Oséas
SEGUNDA,16/02,FALSE,13:00,14:00,Olinda,Pré-Sal,https://www.instagram.com/blocopresal,"Rua Joaquim Cavalcanti, 511",-8.0128193,-34.8542806,
SEGUNDA,16/02,FALSE,13:00,14:00,Recife,Amantes de Glória,https://www.instagram.com/amantesdegloriarecife/,Rua da Guia,-8.0613115,-34.8742648,
SEGUNDA,16/02,FALSE,15:30,15:30,Olinda,Grheia,https://www.instagram.com/ghreiape,Alto da Sé,-8.0139781,-34.849701,
SEGUNDA,16/02,FALSE,15:00,16:20,Olinda,Vaca Profana,https://www.instagram.com/vacaprofanaoficial/,Fortin do Queijo,-8.0157936,-34.8489332,
SEGUNDA,16/02,FALSE,15:00,16:00,Recife,Bloco da Saudade,https://www.instagram.com/blocodasaudade/,Praça Maciel Pinheiro,-8.0622754,-34.888223,Orquestra Bloco da Saudade
SEGUNDA,16/02,FALSE,15:00,16:00,Olinda,Bloco da Ema,https://www.instagram.com/aemagemeu,Praça Cel João Lapa ,-8.0186913,-34.8538912,
SEGUNDA,16/02,FALSE,15:00,16:00,Olinda,Fígado de Aço,https://www.instagram.com/figado_de_aco,"Rua do Bonfim, 109",-8.0158108,-34.8498046,
SEGUNDA,16/02,FALSE,15:00,16:00,Olinda,Batucada Atômica,https://www.instagram.com/batucadaatomica?igsh=NGwxNXVjNHYxMGti,Praça do Carmo - Focca,-8.0171526,-34.84886,
SEGUNDA,16/02,FALSE,15:00,16:00,Olinda,Maracatu Nação Pernambuco,https://www.instagram.com/nacaopernambuco,Casarão Nação Pernambuco,-8.0165178,-34.8494068,
SEGUNDA,16/02,FALSE,15:00,16:00,Recife,Segunda tem palhaço,https://www.instagram.com/segundatempalhaco/,Rua da Moeda,-8.0645962,-34.872844,
SEGUNDA,16/02,FALSE,16:00,16:00,Recife,Cordas e Retalhos,https://www.instagram.com/cordaseretalhos,Praça Joaquim Nabuco,-8.0646115,-34.8810778,Maestro Edson Rodrigues
SEGUNDA,16/02,FALSE,15:30,16:00,Olinda,Eu Gosto Assim,https://www.instagram.com/tcmbeugostoassim,Rua Dez de Novembro,-8.0187699,-34.85049,Orquestra Backstage
SEGUNDA,16/02,FALSE,13:00,17:00,Recife,Bloco do Nada,https://www.instagram.com/blocodonada.recife,Rua Rosário da Boa Vista,-8.0614186,-34.8871121,Orquestra Botelho Frevo e Folia
SEGUNDA,16/02,FALSE,14:30,17:00,Olinda,Garoto de Vassoura,https://www.instagram.com/garotodevassoura,"Rua Antonio Luciano de Oliveira, 239",-8.0103326,-34.8562014,Maestro Oséas
SEGUNDA,16/02,TRUE,11:00,17:00,Olinda,Metido a Rico Porém Liso,https://www.instagram.com/metidoarico,Espaço Cultural Osvaldo Sérgio,-8.0164209,-34.8482814,
SEGUNDA,16/02,FALSE,18:00,19:30,Olinda,O Rodo,https://www.instagram.com/t.a.c.orodo/,Casa de Dona Dá,-8.0141282,-34.8723476,Orquestra de Ninho
SEGUNDA,16/02,FALSE,19:00,20:00,Recife,Noite dos tambores silenciosos,,Pátio do Terço,-8.069073,-34.8830209,
SEGUNDA,16/02,FALSE,19:00,20:00,Olinda,Boi da Macuca,https://www.instagram.com/boidamacuca,Vassourinhas de Olinda - Largo do Amparo,-8.0112489,-34.8542192,
TERÇA,17/02,FALSE,7:00,7:00,Olinda,A Corda,https://www.instagram.com/acorda.olinda,Ladeira da Misericordia,-8.0139579,-34.8525025,
TERÇA,17/02,FALSE,7:00,8:00,Olinda,A Porca,https://www.instagram.com/porcadeolinda,Rua da Palha,-7.9920193,-34.8422368,Orquestra do Babá
TERÇA,17/03,FALSE,8:00,9:00,Olinda,Pernambucar-te,https://www.instagram.com/pernambucarte/,Praça do Carmo,-8.0171526,-34.84886,
TERÇA,17/02,FALSE,9:00,9:00,Olinda,D'Breck,https://www.instagram.com/dbreckoriginal/,Largo do Bonfim,-8.0144344,-34.8514794,
TERÇA,17/02,FALSE,8:00,9:00,Olinda,Maracatu Kangoma,https://www.instagram.com/maracatukangoma,"Rua do Amparo, 236",-8.0125662,-34.8532719,
TERÇA,17/02,FALSE,8:00,9:00,Olinda,Batadoní,https://www.instagram.com/batadoni,Praça do Carmo,-8.0171526,-34.84886,
TERÇA,17/02,FALSE,8:00,9:00,Olinda,Batuques de Pernambuco,https://www.instagram.com/batuquesdepernambuco,Praça do Carmo,-8.0171526,-34.84886,
TERÇA,17/02,FALSE,9:00,9:59,Olinda,Patusco,https://www.instagram.com/bateriapatuscooficial/,"Rua do Amparo, 292",-8.0121218,-34.8535634,
TERÇA,17/02,FALSE,10:00,10:00,Olinda,Pitombeira dos Quatro Cantos,https://www.instagram.com/turmadapitombeira/,Largo do Amparo,-8.0114742,-34.8539587,Maestro Carlos e Paranampuká
TERÇA,17/02,FALSE,9:00,10:00,Olinda,Sambadeiras,https://www.instagram.com/sambadeiras/,Ladeira da Misericordia,-8.0139579,-34.8525025,
TERÇA,17/02,FALSE,9:30,10:30,Olinda,Rebylleurias,https://www.instagram.com/rebylleurias/,"Rua do Bonfim, 449",-8.0142434,-34.8523588,Henrique Dias
TERÇA,17/02,FALSE,10:00,11:00,Olinda,Encontro dos Bonecos Gigantes,https://www.instagram.com/encontrodosbonecosgigantes,Largo do Guadalupe,-8.010065,-34.8558844,
TERÇA,17/02,FALSE,11:00,12:00,Olinda,Os Abutres,https://www.instagram.com/abutresdeolindaoficial,Rua 15 de Novembro,-8.0191641,-34.8534006,Orquestra Santa Cecília
TERÇA,17/02,FALSE,11:00,12:00,Olinda,Zebra das Olindas,https://www.instagram.com/blocozebradasolindas,Rua Maria Adalgisa Ferreira de Castro,-8.0215976,-34.8545363,Orquestra do Babá
TERÇA,17/02,FALSE,11:00,13:00,Olinda,Quem Cola Entra,https://www.instagram.com/tcquemcolaentra,"Rua Henrique Dias, 130",-8.0175264,-34.8535029,Henrique Dias
TERÇA,17/02,TRUE,12:00,14:30,Olinda,Segurucu,https://www.instagram.com/blocosegurucu,Bar Esquina do Carmo,-8.016757,-34.8477808,Maestro Carlos
TERÇA,17/02,TRUE,10:00,15:00,Olinda,Caranguejo Papamé,https://www.instagram.com/caranguejopapame,"Rua Jerônimo de Albuquerque, 112",-8.015553,-34.856211,Maestro Lessa/Maestro Sid
TERÇA,17/02,TRUE,12:00,16:00,Recife,Bloco da Saudade,https://www.instagram.com/blocodasaudade/,Praça Maciel Pinheiro,-8.0622754,-34.888223,Orquestra Bloco da Saudade
TERÇA,17/02,TRUE,12:00,16:00,Olinda,Ceroula de Olinda,https://www.instagram.com/ceroula_oficial,Colégio Sao Bento,-8.0194115,-34.852169,Maestro Oséas
TERÇA,17/02,FALSE,15:00,16:00,Olinda,Rainha,https://www.instagram.com/tcmrainha.olinda,"Rua Coronel Joaquim Cavalcante , 298",-8.0147484,-34.8543715,Frevor do Pina
TERÇA,17/02,FALSE,15:00,16:00,Recife,Quero ver quem vai,https://www.instagram.com/queroverquemvai/,Praça do Arsenal,-8.0610361,-34.871297,Henrique Dias
TERÇA,17/02,FALSE,16:00,17:00,Recife,Maracatu Nação Pernambuco,https://www.instagram.com/nacaopernambuco,Praça do Arsenal,-8.0610361,-34.871297,
